Model,Lambda,Room,N_Cases,Case_Indices,First_Start,Actual_Last_Completion,MILP_C,C_Minus_ActualFinish,C_Inflated,Occupied_Workload,Chronological_Span,Internal_or_PreStart_Gap,Current_OT_from_C,Current_IDLE_from_C,ActualFinish_OT,ActualFinish_IDLE,Workload_OT,Workload_Unused_Capacity,CurrentIdle_Minus_WorkloadUnused,Abs_CurrentIdle_vs_WorkloadUnused
LightGBM,0.0,0,4,"10,2,9,1",0.0,777.2645239338589,777.2645239338589,0.0,False,777.2645239338602,777.2645239338589,0.0,297.26452393385887,0.0,297.26452393385887,0.0,297.26452393386023,0.0,0.0,0.0
LightGBM,0.0,1,4,"8,5,4,0",0.0,777.2209976594874,777.2209976594874,0.0,False,777.2211388529024,777.2209976594874,0.0,297.22099765948735,0.0,297.22099765948735,0.0,297.2211388529024,0.0,0.0,0.0
LightGBM,0.0,2,4,"11,3,7,6",0.0,777.0854505756577,777.0854505756571,-5.684341886080801e-13,False,777.0854505756572,777.0854505756577,4.547473508864641e-13,297.0854505756571,0.0,297.08545057565766,0.0,297.0854505756572,0.0,0.0,0.0
LightGBM,0.5,0,4,"10,6,1,2",0.0,1130.0728385168602,1130.07283851686,-2.2737367544323206e-13,False,1130.0728385168704,1130.0728385168602,0.0,650.07283851686,0.0,650.0728385168602,0.0,650.0728385168704,0.0,0.0,0.0
LightGBM,0.5,1,4,"9,7,5,8",0.0,1129.2981882045074,1129.2981882045055,-1.8189894035458565e-12,False,1129.2981882045162,1129.2981882045074,0.0,649.2981882045055,0.0,649.2981882045074,0.0,649.2981882045162,0.0,0.0,0.0
LightGBM,0.5,2,4,"11,4,3,0",0.0,1126.9658600626108,1126.9658600626108,0.0,False,1126.9664309325567,1126.9658600626108,0.0,646.9658600626108,0.0,646.9658600626108,0.0,646.9664309325567,0.0,0.0,0.0
RF,0.0,0,4,"11,2,3,10",1.2923604814115865e-05,735.6993044412968,735.6993044412969,1.1368683772161603e-13,False,735.7160106099889,735.699291517692,0.0,255.69930444129693,0.0,255.69930444129682,0.0,255.71601060998887,0.0,0.0,0.0
RF,0.0,1,4,"8,5,4,0",0.0,735.6993044413023,735.6993044413005,-1.8189894035458565e-12,False,735.6993044413148,735.6993044413023,0.0,255.69930444130046,0.0,255.69930444130227,0.0,255.69930444131478,0.0,0.0,0.0
RF,0.0,2,4,"6,9,7,1",0.0002659607926701507,735.667169696794,735.6671696967938,-1.1368683772161603e-13,False,735.6673791358292,735.6669037360012,0.0,255.66716969679385,0.0,255.66716969679396,0.0,255.66737913582915,0.0,0.0,0.0
RF,0.5,0,4,"10,6,4,0",0.0,781.9698369975127,781.9698369975126,-1.1368683772161603e-13,False,781.9698369975123,781.9698369975127,4.547473508864641e-13,301.96983699751263,0.0,301.96983699751274,0.0,301.9698369975123,0.0,0.0,0.0
RF,0.5,1,4,"11,7,3,2",0.0,752.7448209815248,752.7448209815248,0.0,False,752.7713771783647,752.7448209815248,0.0,272.74482098152475,0.0,272.74482098152475,0.0,272.7713771783647,0.0,0.0,0.0
RF,0.5,2,4,"9,8,5,1",0.0,752.7448209815248,752.7448209815248,0.0,False,752.7448209815248,752.7448209815248,0.0,272.74482098152475,0.0,272.74482098152475,0.0,272.74482098152475,0.0,0.0,0.0
XGBoost,0.0,0,4,"8,7,6,4",1.4774349854471815e-05,780.6238672197554,780.6238672197553,-1.1368683772161603e-13,False,780.62396,780.6238524454055,0.0,300.6238672197553,0.0,300.6238672197554,0.0,300.62396,0.0,0.0,0.0
XGBoost,0.0,1,4,"11,10,5,1",0.0,739.6398000000002,739.6398000000002,0.0,False,739.6397999999999,739.6398000000002,2.2737367544323206e-13,259.63980000000015,0.0,259.63980000000015,0.0,259.6397999999999,0.0,0.0,0.0
XGBoost,0.0,2,4,"9,3,2,0",0.0,739.2584699999949,739.2584699999948,-1.1368683772161603e-13,False,739.2584700000001,739.2584699999949,0.0,259.25846999999476,0.0,259.2584699999949,0.0,259.2584700000001,0.0,0.0,0.0
XGBoost,0.5,0,4,"7,4,8,6",0.001771781881188872,1125.8007250992116,1125.8007250992114,-2.2737367544323206e-13,False,1125.80609,1125.7989533173304,0.0,645.8007250992114,0.0,645.8007250992116,0.0,645.80609,0.0,0.0,0.0
XGBoost,0.5,1,4,"11,9,5,0",0.0,1125.199375,1125.1993749999997,-2.2737367544323206e-13,False,1125.199375,1125.199375,0.0,645.1993749999997,0.0,645.1993749999999,0.0,645.1993749999999,0.0,0.0,0.0
XGBoost,0.5,2,4,"10,3,2,1",0.0,1124.6219749999934,1124.6219749999934,0.0,False,1124.621975,1124.6219749999934,0.0,644.6219749999934,0.0,644.6219749999934,0.0,644.621975,0.0,0.0,0.0
