Lambda,Time_Limit,Duration_Cap,N_Capped,Pct_Capped,Max_Uncapped_Duration,Max_Planning_Duration,Objective,Overtime,Idle,Makespan,Sched_Util,Cap_Util,Buffer_Ratio,Cap_Expansion,OnTime_Rate,Load_Gap,Solve_Time,Variables,Constraints,Nodes,Gap,Status,Reached_1pct_Gap,Hit_Time_Limit,Model,Solver_Failed,Failure_Type,Failure_Message,Run_Wall_Time
0.0,300,360.0,0,0.0,222.24725,222.24725,1213.9706105516038,819.5221372197502,0.0,780.6238672197553,0.920337179151857,1.4441126597222222,1.0,1.5691125952914933,0.0,41.36539721976055,300.9721953868866,269,864,4136543.0,0.597370989254913,9,False,True,XGBoost,False,,,302.6434180736542
0.1,300,360.0,0,0.0,234.287189,234.287189,1470.8912797520845,1042.7428710520858,0.0,849.6603859999982,0.8375906559823422,1.4441126597222222,1.1073424649083938,1.7241269937861707,0.0,33.182156999996096,300.0235755443573,269,864,4277900.0,0.5482116567364452,9,False,True,XGBoost,False,,,301.99268984794617
0.2,300,360.0,0,0.0,246.32712800000002,246.32712800000002,1726.380540822549,1265.9641598890917,0.0,916.4580038890948,0.768495851063021,1.4441126597222222,1.2146849298167877,1.8791417777007582,0.0,21.87378988909802,300.01589179039,269,864,3273922.0,0.5323110358882392,9,False,True,XGBoost,False,,,301.5842740535736
0.3,300,360.0,0,0.0,258.367067,258.367067,1981.847336687531,1489.1852343671962,0.0,983.2491903672233,0.7099319652446793,1.4441126597222222,1.3220273947251817,2.0341564127549976,0.0,10.375071367232408,300.07138991355896,269,864,3249051.0,0.6039828000516959,9,False,True,XGBoost,False,,,301.4776964187622
0.4,300,360.0,0,0.0,270.407006,270.407006,2238.1000111627623,1712.4063954767078,0.0,1051.2284834767543,0.6596618484798924,1.4441126597222222,1.4293698596335753,2.189171107969936,0.0,0.7937394767732258,300.00805950164795,269,864,3229110.0,0.4855554657399028,9,False,True,XGBoost,False,,,301.37867999076843
0.5,300,360.0,0,0.0,282.446945,282.446945,2498.640312658732,1935.6220750992045,0.0,1125.8007250992114,0.6160411869977732,1.4441126597222222,1.5367123245419694,2.3441819965966695,0.0,1.1787500992179503,300.0331540107727,269,864,3303441.0,0.4955628000679908,9,False,True,XGBoost,False,,,301.29404497146606
0.6,300,360.0,0,0.0,297.503592,297.503592,2758.7040912961047,2158.8484807734567,0.0,1199.6836619999917,0.5778298922862887,1.4441126597222222,1.6440547894503632,2.499200333870456,0.0,0.1377952265197564,300.0143256187439,269,864,3535536.0,0.46848081857482055,9,False,True,XGBoost,False,,,301.49025225639343
0.7,300,360.0,0,0.0,318.83673899999997,318.83673899999997,3021.533282153348,2382.0691797259424,0.0,1277.101384,0.5440828337254509,1.4441126597222222,1.7513972543587573,2.6542147081430154,0.0,9.134104274057336,300.01072907447815,269,864,3395185.0,0.465933813692771,9,False,True,XGBoost,False,,,301.3729901313782
0.8,300,360.0,0,0.0,340.169886,340.169886,3283.2388248234074,2605.290394023453,0.0,1353.5103019999715,0.5140600618122012,1.4441126597222222,1.8587397192671513,2.8092294402940645,0.0,11.93279799969423,300.02100920677185,269,864,3287628.0,0.455457563524589,9,False,True,XGBoost,False,,,301.38416862487793
0.9,300,360.0,1,8.333333333333334,361.503033,360.0,3543.3276114635046,2827.0083033635046,0.0,1429.929393,0.48734900008532894,1.4441126597222222,1.9653594061362838,2.9632002106691004,0.0,13.546115999999984,300.01836681365967,269,864,3216859.0,0.4551248420400584,9,False,True,XGBoost,False,,,301.32118344306946
1.0,300,360.0,9,75.0,382.83618,360.0,3749.260302271471,3007.937401946975,0.0,1482.6458006489916,0.4675250665824884,1.4441126597222222,2.052365614769119,3.0888454180187326,0.0,-1.1368683772161603e-12,300.0713882446289,269,864,2861744.0,0.4526582024638828,9,False,True,XGBoost,False,,,301.12160897254944
